TARGET	AGENT	COMP1	COMP2	COMP3	NONSE1	NONSE2	NONSE3	NONSE4	NONSE5	COMPnum	NONSEnum	ITEM	SCENE	ORDER	SUBJECT	COND	ACCURACY	TARGET_early	AGENT_early	COMP1_early	COMP2_early	COMP3_early	NONSE1_early	NONSE2_early	NONSE3_early	NONSE4_early	NONSE5_early
1955	999	NaN	2469	NaN	NaN	NaN	NaN	NaN	NaN	3	0	13	13	13	15	1	1	NaN	773	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1222	2062	NaN	NaN	2591	1479	2931	855	NaN	1	4	46	30	14	15	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	801	NaN
1886	394	2523	2176	NaN	NaN	NaN	NaN	NaN	NaN	3	1	15	15	15	15	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1951	NaN	1023	1631	1301	NaN	NaN	NaN	NaN	NaN	3	0	70	6	16	15	2	1	585	189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1402	355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	10	10	17	15	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1055	1657	NaN	NaN	1508	NaN	NaN	NaN	NaN	2	2	48	32	18	15	0	1	NaN	1000	NaN	NaN	NaN	250	NaN	NaN	NaN	NaN
NaN	1171	875	NaN	NaN	2499	1428	2101	NaN	NaN	1	3	33	17	19	15	0	1	NaN	195	635	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1999	1026	1473	NaN	1698	NaN	NaN	NaN	NaN	NaN	3	0	12	12	20	15	1	1	NaN	175	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	887	NaN	NaN	NaN	2728	2434	1981	2180	1830	0	5	40	24	21	15	0	1	NaN	673	NaN	NaN	NaN	NaN	NaN	NaN	508	NaN
NaN	NaN	1128	1403	NaN	943	1661	3298	NaN	NaN	2	3	42	26	22	15	0	1	NaN	NaN	278	NaN	NaN	7	NaN	NaN	NaN	NaN
