subject	randomlyGeneratedNumber	order	trialID	condition	clickedTargetAnimalFirst	clickedTargetInstrumentFirst
12	33	60	48	mod	0	1
12	33	63	20	Inst	0	1
12	33	65	51	mod	0	1
12	33	67	12	Inst	0	1
12	33	68	24	mod	0	1
12	33	70	25	Inst	0	1
12	33	71	53	mod	0	1
12	33	72	36	Equi	0	1
12	33	73	21	Equi	0	1
12	33	74	46	mod	0	1
12	33	76	33	Equi	0	1
12	33	77	14	mod	0	1
12	33	79	4	Inst	0	1
12	33	80	3	mod	0	1
12	33	81	26	mod	0	1
13	8	4	22	Equi	1	0
13	8	5	49	mod	1	0
13	8	7	27	Equi	0	1
13	8	8	44	Inst	0	1
13	8	9	8	Equi	0	1
13	8	11	9	Inst	0	1
13	8	12	5	Equi	1	0
13	8	14	50	mod	1	0
13	8	15	11	mod	1	0
13	8	16	19	Equi	0	1
13	8	19	6	Equi	0	1
13	8	20	42	Inst	0	1
13	8	21	17	Equi	1	0
13	8	22	34	Equi	1	0
13	8	23	35	Equi	0	1
13	8	25	10	mod	0	1
13	8	26	2	mod	1	0
13	8	27	39	Inst	0	1
13	8	29	43	Inst	0	1
13	8	30	54	mod	1	0
13	8	34	13	Equi	0	1
13	8	35	15	mod	1	0
13	8	36	41	Inst	1	0
13	8	38	16	Inst	0	1
13	8	39	52	mod	1	0
13	8	41	29	Equi	1	0
13	8	42	32	Equi	0	1
13	8	43	30	Equi	0	1
13	8	46	38	Inst	1	0
13	8	48	40	Inst	1	0
13	8	50	37	Inst	0	1
13	8	52	1	Inst	0	1
13	8	53	47	mod	1	0
13	8	54	31	Equi	1	0
13	8	55	28	Equi	0	1
13	8	56	45	Inst	0	1
13	8	57	7	mod	1	0
13	8	58	23	Inst	0	1
13	8	59	18	Inst	0	1
13	8	60	48	mod	1	0
13	8	63	20	Inst	0	1
13	8	65	51	mod	1	0
13	8	67	12	Inst	0	1
13	8	68	24	mod	1	0
13	8	70	25	Inst	0	1
13	8	71	53	mod	1	0
13	8	72	36	Equi	1	0
13	8	73	21	Equi	1	0
13	8	74	46	mod	1	0
13	8	76	33	Equi	1	0
13	8	77	14	mod	1	0
13	8	79	4	Inst	1	0
13	8	80	3	mod	1	0
13	8	81	26	mod	1	0
14	30	4	22	Equi	1	0
14	30	5	49	mod	1	0
14	30	7	27	Equi	0	1
14	30	8	44	Inst	0	1
14	30	9	8	Equi	1	0
14	30	11	9	Inst	0	1
14	30	12	5	Equi	1	0
14	30	14	50	mod	1	0
14	30	15	11	mod	1	0
14	30	16	19	Equi	1	0
14	30	19	6	Equi	1	0
14	30	20	42	Inst	0	1
14	30	21	17	Equi	0	1
14	30	22	34	Equi	1	0
14	30	23	35	Equi	0	1
14	30	25	10	mod	0	1
14	30	26	2	mod	1	0
14	30	27	39	Inst	0	1
14	30	29	43	Inst	0	1
14	30	30	54	mod	1	0
14	30	34	13	Equi	0	1
14	30	35	15	mod	1	0
14	30	36	41	Inst	0	1
14	30	38	16	Inst	0	1
14	30	39	52	mod	1	0
14	30	41	29	Equi	0	1
14	30	42	32	Equi	0	1
14	30	43	30	Equi	0	1
14	30	46	38	Inst	0	1
14	30	48	40	Inst	0	1
14	30	50	37	Inst	0	1
14	30	52	1	Inst	0	1
14	30	53	47	mod	0	1
14	30	54	31	Equi	1	0
14	30	55	28	Equi	0	1
14	30	56	45	Inst	0	1
14	30	57	7	mod	1	0
14	30	58	23	Inst	0	1
14	30	59	18	Inst	0	1
14	30	60	48	mod	1	0
14	30	63	20	Inst	0	1
14	30	65	51	mod	0	1
14	30	67	12	Inst	0	1
14	30	68	24	mod	1	0
14	30	70	25	Inst	0	1
14	30	71	53	mod	1	0
14	30	72	36	Equi	1	0
14	30	73	21	Equi	1	0
14	30	74	46	mod	1	0
14	30	76	33	Equi	1	0
14	30	77	14	mod	1	0
14	30	79	4	Inst	0	1
14	30	80	3	mod	1	0
14	30	81	26	mod	0	1
15	3	4	22	Equi	1	0
15	3	5	49	mod	0	1
15	3	7	27	Equi	0	1
15	3	8	44	Inst	0	1
15	3	9	8	Equi	0	1
15	3	11	9	Inst	0	1
15	3	12	5	Equi	1	0
15	3	14	50	mod	1	0
15	3	15	11	mod	1	0
15	3	16	19	Equi	1	0
15	3	19	6	Equi	0	1
15	3	20	42	Inst	0	1
15	3	21	17	Equi	0	1
15	3	22	34	Equi	1	0
15	3	23	35	Equi	0	1
15	3	25	10	mod	0	1
15	3	26	2	mod	1	0
15	3	27	39	Inst	0	1
15	3	29	43	Inst	0	1
15	3	30	54	mod	1	0
15	3	34	13	Equi	0	1
15	3	35	15	mod	1	0
15	3	36	41	Inst	1	0
15	3	38	16	Inst	0	1
15	3	39	52	mod	1	0
15	3	41	29	Equi	0	1
15	3	42	32	Equi	0	1
15	3	43	30	Equi	0	1
15	3	46	38	Inst	1	0
15	3	48	40	Inst	0	1
15	3	50	37	Inst	0	1
15	3	52	1	Inst	0	1
15	3	53	47	mod	0	1
15	3	54	31	Equi	1	0
15	3	55	28	Equi	0	1
15	3	56	45	Inst	0	1
15	3	57	7	mod	1	0
15	3	58	23	Inst	0	1
15	3	59	18	Inst	0	1
15	3	60	48	mod	1	0
15	3	63	20	Inst	0	1
15	3	65	51	mod	0	1
15	3	67	12	Inst	0	1
15	3	68	24	mod	1	0
15	3	70	25	Inst	0	1
15	3	71	53	mod	1	0
15	3	72	36	Equi	1	0
15	3	73	21	Equi	0	1
15	3	74	46	mod	1	0
15	3	76	33	Equi	0	1
15	3	77	14	mod	0	1
15	3	79	4	Inst	0	1
15	3	80	3	mod	0	1
15	3	81	26	mod	0	1
16	31	4	22	Equi	1	0
16	31	5	49	mod	1	0
16	31	7	27	Equi	1	0
16	31	8	44	Inst	0	1
16	31	9	8	Equi	1	0
16	31	11	9	Inst	0	1
16	31	12	5	Equi	1	0
16	31	14	50	mod	1	0
16	31	15	11	mod	0	0
16	31	16	19	Equi	0	1
16	31	19	6	Equi	0	1
16	31	20	42	Inst	0	1
16	31	21	17	Equi	0	1
16	31	22	34	Equi	1	0
16	31	23	35	Equi	0	1
16	31	25	10	mod	0	1
16	31	26	2	mod	1	0
16	31	27	39	Inst	0	1
16	31	29	43	Inst	0	1
16	31	30	54	mod	0	0
16	31	34	13	Equi	0	1
16	31	35	15	mod	1	0
16	31	36	41	Inst	1	0
16	31	38	16	Inst	0	1
16	31	39	52	mod	1	0
16	31	41	29	Equi	1	0
16	31	42	32	Equi	0	1
16	31	43	30	Equi	1	0
16	31	46	38	Inst	0	1
16	31	48	40	Inst	0	1
16	31	50	37	Inst	0	1
16	31	52	1	Inst	0	1
16	31	53	47	mod	0	1
16	31	54	31	Equi	0	0
16	31	55	28	Equi	0	1
16	31	56	45	Inst	0	1
16	31	57	7	mod	1	0
16	31	58	23	Inst	0	1
16	31	59	18	Inst	1	0
16	31	60	48	mod	1	0
16	31	63	20	Inst	1	0
16	31	65	51	mod	0	1
16	31	67	12	Inst	0	1
16	31	68	24	mod	1	0
16	31	70	25	Inst	1	0
16	31	71	53	mod	1	0
16	31	72	36	Equi	1	0
16	31	73	21	Equi	1	0
16	31	74	46	mod	1	0
16	31	76	33	Equi	1	0
16	31	77	14	mod	1	0
16	31	79	4	Inst	0	1
16	31	80	3	mod	0	1
16	31	81	26	mod	0	0
17	29	4	22	Equi	1	0
17	29	5	49	mod	0	1
17	29	7	27	Equi	0	1
17	29	8	44	Inst	0	1
17	29	9	8	Equi	0	1
17	29	11	9	Inst	0	1
17	29	12	5	Equi	1	0
17	29	14	50	mod	1	0
17	29	15	11	mod	1	0
17	29	16	19	Equi	1	0
17	29	19	6	Equi	1	0
17	29	20	42	Inst	0	1
